server_type,cooling_type,datacenter_region,time_of_day,workload_intensity,cpu_utilization,memory_utilization,network_throughput_gbps,inlet_temperature_c,cooling_efficiency,power_consumption_kw,carbon_emission_kg,compute_cost_usd,pue,energy_efficiency_class
Compute,Air,APAC,Off-Peak,0.369,31.054,60.041,18.391,24.524,0.883,58.524,34.783,3.788,1.594,Low
Edge,Air,NA,Off-Peak,0.185,34.425,57.542,8.076,21.944,0.951,59.946,21.333,6.735,1.473,Medium
GPU,Air,NA,Night,0.214,17.188,32.198,5.057,19.726,0.961,139.775,58.925,16.039,1.619,Low
Storage,Liquid,EU,Peak,0.263,29.659,58.685,12.704,20.036,0.959,76.223,19.714,14.194,1.454,Medium
Compute,Air,EU,Off-Peak,0.283,23.086,50.79,18.46,25.29,0.923,102.655,25.609,18.259,1.394,High
Compute,Hybrid,APAC,Off-Peak,0.318,26.033,79.909,10.717,21.863,0.814,74.389,42.997,6.241,1.565,Low
Compute,Air,ME,Night,0.33,29.531,81.373,6.1,21.836,0.955,52.661,26.935,2.319,1.629,Low
GPU,Liquid,NA,Off-Peak,0.51,39.918,65.142,8.47,15.0,0.906,88.206,34.929,10.636,1.363,High
Storage,Liquid,APAC,Off-Peak,0.559,50.438,37.596,9.151,20.142,0.999,47.184,32.469,3.487,1.316,High
GPU,Liquid,NA,Peak,0.378,30.311,46.006,7.912,17.684,0.971,141.743,56.853,18.002,1.559,Medium
Compute,Hybrid,EU,Off-Peak,0.917,69.964,73.192,13.609,17.754,0.876,84.106,20.867,13.994,1.39,High
Edge,Liquid,NA,Night,0.598,46.423,53.635,26.404,16.821,1.0,80.838,30.919,10.033,1.198,High
GPU,Hybrid,NA,Night,0.809,65.744,66.71,12.983,23.956,0.791,109.564,45.976,12.825,1.779,Low
Compute,Air,NA,Off-Peak,0.932,75.581,98.0,19.592,24.477,0.919,95.739,38.381,11.5,1.671,Low
Compute,Liquid,NA,Peak,0.247,28.091,52.907,24.097,17.163,0.96,67.552,26.442,8.715,1.374,High
Compute,Air,APAC,Night,0.485,38.892,65.33,20.817,27.7,0.744,72.914,44.471,5.468,1.756,Low
Compute,Air,APAC,Peak,0.49,41.246,69.069,16.595,21.986,0.814,64.597,37.879,4.815,1.495,Medium
Storage,Air,ME,Peak,0.419,32.239,48.899,8.117,28.261,0.89,42.673,24.692,2.173,1.559,Medium
Storage,Air,EU,Off-Peak,0.108,22.511,47.239,28.092,27.239,0.853,58.705,12.193,10.045,1.496,Medium
Compute,Air,NA,Peak,0.834,67.713,67.535,13.885,25.538,0.676,85.173,36.126,9.962,1.382,Medium
Storage,Air,NA,Night,0.2,24.418,60.813,9.264,17.177,0.652,49.331,18.492,5.17,1.537,Low
Compute,Air,NA,Off-Peak,0.996,75.965,88.096,26.577,23.416,0.78,78.206,31.49,9.553,1.419,Medium
Compute,Hybrid,NA,Off-Peak,0.796,59.399,54.301,9.021,20.765,0.972,75.813,32.022,9.166,1.512,Medium
Compute,Air,EU,Off-Peak,0.622,50.201,67.612,11.472,17.268,0.846,104.002,28.111,18.898,1.735,Low
Storage,Liquid,EU,Off-Peak,0.239,36.327,15.209,7.981,18.01,1.0,53.901,11.102,10.531,1.05,High
GPU,Air,NA,Off-Peak,0.564,46.2,65.246,12.966,19.122,0.895,143.858,56.449,17.457,1.215,High
Compute,Hybrid,NA,Peak,0.335,33.337,66.842,6.234,22.917,0.854,46.944,18.748,5.581,1.777,Low
Storage,Hybrid,NA,Off-Peak,0.327,35.496,63.844,15.594,23.136,0.863,49.142,15.932,5.477,1.331,High
