server_type,cooling_type,datacenter_region,n_amostras,risco_medio,custo_medio_usd,tempo_estimado_semanas,score_decisao,estabilidade_top5_pct,prob_top5_montecarlo_pct
Edge,Liquid,ME,35,14.77413294081786,3.417857142857143,12.477993214442789,82.46631805609115,95.0,98.66666666666667
Edge,Liquid,NA,117,13.261873930551552,7.634735042735042,9.138164390105018,81.7650502682901,89.0,95.33333333333333
Storage,Liquid,ME,96,13.747720821214363,3.3575208333333335,16.594876778324345,80.53432369111972,85.33333333333333,86.66666666666667
Edge,Liquid,APAC,58,15.569082576146268,5.378344827586206,12.288489045445814,76.40025688462356,56.333333333333336,51.666666666666664
Edge,Liquid,EU,89,11.492472807916071,11.755303370786516,10.585899004375136,76.29426719107141,53.666666666666664,45.0
Edge,Air,ME,41,19.7519167726629,3.430170731707317,7.200652934544281,74.99988091722936,45.333333333333336,45.666666666666664
Storage,Liquid,NA,358,14.026112881839335,8.647416201117318,13.093628313602308,72.85048836220625,5.666666666666667,19.333333333333332
Edge,Hybrid,ME,15,19.23375002618582,3.5642666666666667,10.676624768947939,72.02235190336364,16.0,24.333333333333332
Compute,Liquid,ME,127,16.332654960102435,4.207110236220473,16.580189071809965,71.65918028296983,11.0,6.666666666666667
Edge,Hybrid,NA,77,17.5312221451383,7.932246753246755,7.841208849024109,70.93022512134146,1.3333333333333333,7.333333333333333
Edge,Air,NA,178,18.678594577070243,8.142837078651684,5.4171726532144575,70.20686374593991,11.333333333333334,6.666666666666667
Compute,Liquid,NA,488,14.77483961719148,9.633813524590163,12.382256535185427,69.56923247433252,0.0,2.6666666666666665
Edge,Air,APAC,103,20.4664934435019,5.448679611650483,7.060740217234733,68.97478187735271,9.0,6.0
Storage,Air,ME,158,19.785657990090076,3.625841772151899,12.656745829890935,68.02572707410803,2.0,0.6666666666666666
Compute,Liquid,APAC,240,16.329274564363228,6.4406375,16.00187847203938,67.68014557307094,0.0,1.3333333333333333
Edge,Air,EU,146,16.777442610549517,11.53176712328767,6.2335343557180565,67.37877476539794,5.333333333333333,1.0
Storage,Liquid,EU,288,12.192181177292863,12.622618055555556,15.107551656896879,67.18994609712672,12.666666666666666,0.0
Storage,Liquid,APAC,176,16.56220986985659,5.723681818181817,17.50701446044274,66.75414370201864,0.0,0.0
Storage,Hybrid,ME,52,19.379458885240727,3.4310769230769225,16.04006248244895,65.53816856325125,0.0,1.0
Storage,Hybrid,NA,268,18.143357386099368,8.080044776119404,11.99622691681679,64.00761761830593,0.0,0.0
Storage,Air,NA,612,18.95564164410558,8.595013071895423,9.623857203830113,63.50824014105346,0.0,0.0
Edge,Hybrid,EU,67,16.21895373993031,12.78631343283582,9.378813114491548,62.55961039818765,0.0,0.0
Storage,Air,APAC,274,20.654960406637535,5.432981751824817,12.414142934114134,62.13893188250387,0.0,0.0
Compute,Air,ME,214,21.958588002352016,4.185046728971963,11.5942254952719,62.13515784427531,0.0,0.0
Edge,Hybrid,APAC,35,21.484100669678902,5.5124571428571425,10.886420564401382,61.50267185502349,0.0,0.0
Compute,Liquid,EU,385,13.061735544097761,14.635345454545455,14.572972051293002,61.218536434514405,1.0,0.0
Compute,Air,NA,769,19.666054846322943,9.821772431729517,8.578608043503849,60.22543893159713,0.0,0.0
Compute,Hybrid,ME,80,21.35894867974165,4.1209125,15.20722315177916,59.63418706756133,0.0,0.0
Compute,Hybrid,NA,340,19.16695158509643,9.490126470588235,11.224687043496884,59.154525897788005,0.0,0.0
GPU,Liquid,ME,54,16.88458927910692,5.393462962962962,24.08460178505787,58.755874844785936,0.0,0.0
Storage,Air,EU,476,16.978903126804987,12.68006512605042,11.16977722644701,58.565979540132695,0.0,0.0
Compute,Air,APAC,419,21.901228689589736,6.414171837708831,11.174030668069944,58.12635258570224,0.0,0.0
Compute,Hybrid,APAC,165,21.120213449903048,6.451775757575757,14.613276209925596,56.11776616309706,0.0,0.0
Storage,Hybrid,EU,188,16.636961197327945,12.675132978723406,14.217943732493854,55.901825898130596,0.0,0.0
Storage,Hybrid,APAC,109,21.327368894315736,5.732201834862384,16.32582777655091,55.02217034574146,0.0,0.0
Compute,Air,EU,586,18.452512950053293,14.425276450511944,10.250146094194589,51.94860650654787,0.0,0.0
Compute,Hybrid,EU,245,17.70663719705519,14.725375510204081,13.444023067532786,49.585003529816376,0.0,0.0
GPU,Liquid,NA,240,16.699515584453998,13.340308333333333,19.46414108928696,48.11476389546493,0.0,0.0
GPU,Air,ME,83,24.43691086232497,5.442012048192772,20.991372889789744,41.53696506701125,0.0,0.0
GPU,Liquid,EU,169,13.620564243450515,19.3331775147929,22.23041152755303,40.765948167557696,0.0,0.0
GPU,Hybrid,NA,162,20.436488169269047,13.282734567901233,18.486415511841518,39.109666570549436,0.0,0.0
GPU,Hybrid,ME,33,23.72591450401598,5.661090909090909,24.857144651461486,38.44994794796611,0.0,0.0
GPU,Air,NA,381,21.779716946852666,13.481808398950132,15.99809545385062,37.94759935273183,0.0,0.0
GPU,Liquid,APAC,111,20.89628589865985,8.924315315315315,26.493621179758172,37.46760862960923,0.0,0.0
GPU,Air,APAC,211,25.81316682041918,8.625943127962085,21.238831798600355,30.7922470187444,0.0,0.0
GPU,Air,EU,285,20.02482390440304,20.08159649122807,19.33851918981836,25.00336740638247,0.0,0.0
GPU,Hybrid,APAC,65,26.025694992340412,8.781338461538462,25.67666990564147,24.618115032741006,0.0,0.0
GPU,Hybrid,EU,132,19.639937564745182,19.667121212121213,22.83730651009651,22.779991069072615,0.0,0.0
